"Año";"Periodo";"Parámetro";"Denuncias, datos acumulados"
"2017";"Trimestre 2";"Agresión sexual con penetración";"613"
"2017";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"151"
"2017";"Trimestre 2";"Hurtos";"343.862"
"2017";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"74.024"
"2017";"Trimestre 2";"Robos con violencia e intimidación";"30.099"
"2017";"Trimestre 2";"Secuestro";"33"
"2017";"Trimestre 2";"Sustracciones de vehículos";"22.055"
"2017";"Trimestre 2";"Total";"998.911"
"2017";"Trimestre 2";"Tráfico de drogas";"6.461"
"2018";"Trimestre 2";"Agresión sexual con penetración";"799"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"148"
"2018";"Trimestre 2";"Hurtos";"341.685"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"75.575"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"28.031"
"2018";"Trimestre 2";"Secuestro";"36"
"2018";"Trimestre 2";"Sustracciones de vehículos";"17.513"
"2018";"Trimestre 2";"Total";"1.025.863"
"2018";"Trimestre 2";"Tráfico de drogas";"6.905"
"2019";"Trimestre 2";"Agresión sexual con penetración";"825"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"147"
"2019";"Trimestre 2";"Hurtos";"343.556"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"69.991"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"31.026"
"2019";"Trimestre 2";"Secuestro";"50"
"2019";"Trimestre 2";"Sustracciones de vehículos";"17.425"
"2019";"Trimestre 2";"Total";"1.069.105"
"2019";"Trimestre 2";"Tráfico de drogas";"7.998"
"2020";"Trimestre 2";"Agresión sexual con penetración";"731"
"2020";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"145"
"2020";"Trimestre 2";"Hurtos";"197.885"
"2020";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"49.893"
"2020";"Trimestre 2";"Robos con violencia e intimidación";"20.621"
"2020";"Trimestre 2";"Secuestro";"32"
"2020";"Trimestre 2";"Sustracciones de vehículos";"11.486"
"2020";"Trimestre 2";"Total";"804.163"
"2020";"Trimestre 2";"Tráfico de drogas";"8.030"
"2021";"Trimestre 2";"Agresión sexual con penetración";"955"
"2021";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"140"
"2021";"Trimestre 2";"Hurtos";"211.868"
"2021";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"47.045"
"2021";"Trimestre 2";"Robos con violencia e intimidación";"23.005"
"2021";"Trimestre 2";"Secuestro";"43"
"2021";"Trimestre 2";"Sustracciones de vehículos";"12.106"
"2021";"Trimestre 2";"Total";"898.516"
"2021";"Trimestre 2";"Tráfico de drogas";"9.051"
;;
;;
"Métrica":"Denuncias, datos acumulados"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/cifras-crimen-espana/d46b83fd-58df-4c71-bdeb-d40691a66838"
"Titulo":"Las cifras del crimen en España"
"Subtitulo":""
